group,model,observations,mae,rmse,correlation,qlike,phase
phase_0,SigFlow v4,34,0.04999851606128738,0.06493131411122184,0.29708542475735383,0.2983609027588508,0
phase_0,Rolling volatility,34,0.05470816910210871,0.06786273933885272,0.2744572536727591,0.2800821777684308,0
phase_0,EWMA volatility,34,0.05468255758886141,0.06875552742029775,0.15955723420783477,0.2794999315009148,0
phase_0,HAR-style per ticker,34,0.04999262505240038,0.06084749608103019,0.3252623074131257,0.23446187806983254,0
phase_1,SigFlow v4,34,0.05832730677156098,0.07140550349094231,0.17372508140587334,0.3280584413559759,1
phase_1,Rolling volatility,34,0.06441860727269852,0.07832015009892862,0.09968299612597174,0.3797052728942708,1
phase_1,EWMA volatility,34,0.060478648492029156,0.07265392197090914,0.1179267412305266,0.30904871220482666,1
phase_1,HAR-style per ticker,34,0.05460318630198447,0.065345821413447,0.2507049659425274,0.2603189788998566,1
phase_2,SigFlow v4,34,0.06335432986122497,0.07702167433402213,0.10445084398874079,0.3537297567652588,2
phase_2,Rolling volatility,34,0.07030200448623411,0.08391793670529857,0.06710228074275786,0.4461999668818278,2
phase_2,EWMA volatility,34,0.06917063726148702,0.07914892030907776,0.020365305743769303,0.37334768311573424,2
phase_2,HAR-style per ticker,34,0.05994250737137476,0.07073735010035724,0.1970252452262886,0.30984444783259646,2
phase_3,SigFlow v4,34,0.06568816600667034,0.08119922888231652,0.07132794422883344,0.4243351720556714,3
phase_3,Rolling volatility,34,0.07496928266781543,0.08871950702294262,0.029397909371750408,0.49639082410269375,3
phase_3,EWMA volatility,34,0.07228389090491143,0.08384190546756147,-0.03196184406392853,0.4278409582286716,3
phase_3,HAR-style per ticker,34,0.06278691255966072,0.07427288263080069,0.17442112342974095,0.3423832997156069,3
phase_4,SigFlow v4,34,0.06536125127384129,0.08088905838046154,0.09403118659073022,0.4470241982146798,4
phase_4,Rolling volatility,34,0.07036739252671123,0.084610044533031,0.08608346809310206,0.48555586647036625,4
phase_4,EWMA volatility,34,0.06826998527485192,0.07922197742334848,0.04170187172847011,0.4127873575257017,4
phase_4,HAR-style per ticker,34,0.059822485586078826,0.07159949729878191,0.21634908695926924,0.3459911613709057,4
phase_5,SigFlow v4,32,0.06707939036975441,0.08170521739990962,0.10379491624079365,0.4752217266523696,5
phase_5,Rolling volatility,32,0.07020460666107747,0.08473529048435004,0.09094763789384411,0.49218215201396076,5
phase_5,EWMA volatility,32,0.06768758775284875,0.07780127332751853,0.12109196411120816,0.39165664865541666,5
phase_5,HAR-style per ticker,32,0.06215902331368123,0.07406435399548887,0.127363044479925,0.3763096346094436,5
phase_6,SigFlow v4,32,0.06066850523244831,0.07533627360109514,0.18827215822334134,0.4495323157459452,6
phase_6,Rolling volatility,32,0.06933213980054738,0.08378765945616785,0.10043845183820359,0.5595600816371861,6
phase_6,EWMA volatility,32,0.06424957741822719,0.07558217747351406,0.1410840231410227,0.402706824645847,6
phase_6,HAR-style per ticker,32,0.05856547000030907,0.07125131445767283,0.18206440553503803,0.3709816828818516,6
phase_7,SigFlow v4,32,0.06191563764180852,0.07631994186584365,0.18725946562393228,0.4458274060296019,7
phase_7,Rolling volatility,32,0.06649244470338005,0.082759885938871,0.156638686544015,0.5884210298057164,7
phase_7,EWMA volatility,32,0.061010830337203545,0.07716313033402289,0.12170672249298747,0.4268247694272331,7
phase_7,HAR-style per ticker,32,0.060367801081285505,0.0729559596519345,0.17546471985500525,0.39817608653337444,7
phase_8,SigFlow v4,32,0.05961313943916509,0.07447197661958843,0.1860410248900815,0.3147255293347666,8
phase_8,Rolling volatility,32,0.06539614235762142,0.08280925923483586,0.15426434372867223,0.4841488230289447,8
phase_8,EWMA volatility,32,0.06261119201334105,0.07808067803207978,0.07595722489891571,0.3475907829332058,8
phase_8,HAR-style per ticker,32,0.058307739454213255,0.07190516064294988,0.19629552662309047,0.32842189546865885,8
phase_9,SigFlow v4,32,0.06710829898304166,0.08200650318768027,0.0370746203703313,0.4144570058677959,9
phase_9,Rolling volatility,32,0.06751778380197117,0.08513383357188858,0.07218154742692957,0.4943328798631481,9
phase_9,EWMA volatility,32,0.06710318204334204,0.08208317934230133,0.001444920637854544,0.37254192332547564,9
phase_9,HAR-style per ticker,32,0.06305379648522075,0.07673821986508628,0.07914963972680154,0.3666717305540592,9
