group,model,observations,mae,rmse,correlation,qlike
Pooled,SigFlow v4,330,0.061870074158954125,0.07666038828225968,0.1399012148707758,0.3943749560463339
Pooled,Rolling volatility,330,0.06735819775841344,0.082398668890668,0.10986496203355908,0.46904969272474134
Pooled,EWMA volatility,330,0.06476154633282301,0.07752451789456559,0.07491530426881728,0.37396396428838957
Pooled,HAR-style per ticker,330,0.05891377255861117,0.07103690811503352,0.19059836445862105,0.33230286364162287
AAPL,SigFlow v4,165,0.05512251934447851,0.07098432146015779,0.20087276901859627,0.3436293829132575
AAPL,Rolling volatility,165,0.06181955599365988,0.0795181574539564,0.13800942588929452,0.5077605433904513
AAPL,EWMA volatility,165,0.05999573374770127,0.07536594106072556,0.0882307905536805,0.39796564136337736
AAPL,HAR-style per ticker,165,0.05414607228531678,0.06767856706597962,0.23697948655453066,0.3409925224829253
MSFT,SigFlow v4,165,0.06861762897342975,0.08194422719151495,0.0069100227193207115,0.44512052917941025
MSFT,Rolling volatility,165,0.07289683952316697,0.08518182849079768,-0.06925230743860765,0.43033884205903133
MSFT,EWMA volatility,165,0.06952735891794477,0.07962459844546083,-0.1488928486086326,0.3499622872134018
MSFT,HAR-style per ticker,165,0.06368147283190556,0.07424349256994266,-0.03848425841409136,0.32361320480032046
